objid,RA,DEC,Z,nQ,PROB
2SLJ090758.03-001447.7_a13_050313,136.99181,-0.24658,0.516,3.0,0.0
2SLJ090843.58+001439.4_1,137.18159,0.24428,0.601,3.0,0.0
2SLJ090938.02-002753.6_a13_050313,137.40842,-0.46488,0.4102,3.0,0.0
2SLJ091555.54-011217.7_a14_040423,138.98143,-1.20493,0.2198,3.0,0.0
2SLJ091656.03-001131.5_1,139.23344,-0.19207,0.4896,3.0,0.0
2SLJ091726.21+003424.0_a14_040423,139.35922,0.57335,0.1535,3.0,0.0
2SLJ091825.42+002735.6_a14_040423,139.6059,0.45989,0.4945,3.0,0.0
2SLJ091832.25-003626.2_1,139.63438,-0.60728,0.5828,3.0,0.0
2SLJ092058.58-003024.6_a15_040418,140.24409,-0.50684,0.3282,3.0,0.0
2SLJ092131.62-003545.4_a15_040418,140.38174,-0.59594,0.0461,3.0,0.0
2SLJ092153.36+002244.0_a15_040418,140.47234,0.37889,0.4925,3.0,0.0
4240312034832941056,138.70974,-0.68332,0.52872,3.0,0.0
4256043297900331008,135.85747,-1.67516,0.62789,3.0,0.0
4257176344683085824,140.01258,-1.19142,0.57462,3.0,0.0
4289687267200991232,132.27184,1.30241,0.51766,3.0,0.0
4289695505418027008,132.16141,1.47009,0.46373,3.0,0.0
4289753229778485248,131.10758,1.89008,0.65608,3.0,0.0
4289944544801718272,132.00368,2.07924,0.76896,3.0,0.0
4292062753650638848,131.41053,-0.30448,0.56984,3.0,0.0
4292113331185516544,131.94752,0.13415,0.70175,3.0,0.0
4292117454354120704,132.04712,-0.04844,1.30276,3.0,0.0
4293134228050673664,132.57302,0.65119,0.87977,3.0,0.0
4293317296736698368,133.784,2.79492,0.56149,3.0,0.0
4294260128007847936,133.71669,2.37672,0.5274,3.0,0.0
4295340398215692288,134.68718,-0.33642,0.55155,3.0,0.0
4295344246506389504,134.50544,-1.07019,0.55916,3.0,0.0
4295380255512199168,134.17322,-0.8367,0.57671,3.0,0.0
4295430008413356032,133.28059,-1.26055,0.57631,3.0,0.0
4295539409820319744,134.4293,0.22651,0.52197,3.0,0.0
4296434407839367168,135.97715,1.64587,0.29233,3.0,0.0
4296482236595175424,135.29517,1.05647,0.62356,3.0,0.0
4296530615106797568,134.33521,1.62936,0.61192,3.0,0.0
4296540510711447552,134.28579,1.43208,0.52235,3.0,0.0
4298931403108122624,137.14592,0.2513,0.57496,3.0,0.0
4299866537881763840,137.42799,1.85349,0.76886,3.0,0.0
4299898423718969344,136.81712,1.7975,0.47931,3.0,0.0
4299944328329428992,135.70621,1.43525,0.57212,3.0,0.0
4302152972227837952,138.47498,-1.05406,0.71825,3.0,0.0
4302207947809226752,137.68357,0.528,0.6609,3.0,0.0
4302211246344110080,137.67181,-0.01672,0.42468,3.0,0.0
4302223340972015616,138.05199,1.0505,0.61803,3.0,0.0
4302312401413865472,139.66096,0.87738,0.54781,3.0,0.0
4303291516669394944,138.56012,0.97533,0.56849,3.0,0.0
4303443799029841920,139.73598,2.59926,0.62641,3.0,0.0
4304405321780559872,140.87289,-0.77241,0.68476,3.0,0.0
4304493282710781952,140.71051,0.64863,0.47952,3.0,0.0
